keynmer,nambe,replicas,contrib,crystal_lattice_energy,priority_cutoff,min_separations
2mer-0+2,-8.22605863956876,2,-8.22605863956876,-8.22605863956876,0.007388314612786899, 1.805 
2mer-0+1,-0.30639650215880915,2,-0.30639650215880915,-8.532455141727569,0.00275825931435631, 2.309 
2mer-0+22,-0.8621151785837804,1,-0.4310575892918902,-8.963512731019458,0.0019250706154687383, 2.526 
2mer-0+4,-1.4196796927370208,2,-1.4196796927370208,-10.38319242375648,0.0016758106946493218, 2.615 
2mer-0+5,-0.9733521372544444,2,-0.9733521372544444,-11.356544561010924,0.0011737268530312155, 2.859 
2mer-0+3,-0.8664754022410229,1,-0.43323770112051146,-11.789782262131435,0.001093817862821051, 2.910 
2mer-0+7,-0.4261757679211163,2,-0.4261757679211163,-12.215958030052551,0.0009612964353279748, 3.005 
2mer-0+9,-1.3449754452203002,1,-0.6724877226101501,-12.888445752662703,0.0005759167811462921, 3.416 
2mer-0+34,-0.18489023043671657,1,-0.09244511521835828,-12.98089086788106,0.0004261223625742518, 3.683 
2mer-0+8,-0.020310523861599095,1,-0.010155261930799547,-12.99104612981186,0.00032180066833982084, 3.951 
2mer-0+15,-0.06884286852720882,2,-0.06884286852720882,-13.05988899833907,0.00014112255650897793, 4.855 
2mer-0+49,-0.07756047312072856,2,-0.07756047312072856,-13.137449471459796,0.00013949296772670464, 4.869 
2mer-0+46,-0.019276435101093614,1,-0.009638217550546807,-13.147087689010345,0.00012925462111947948, 4.963 
3mer-0+2+4,-1.2633864474059815,3,-1.2633864474059815,-14.410474136416324,5.68206444157208e-07, 1.805  2.526  2.615 
3mer-0+1+3,0.4262853421146897,3,0.4262853421146897,-13.984188794301634,2.1758365900824415e-07, 2.309  2.859  2.910 
3mer-0+2+3,-1.9706922382183178,3,-1.9706922382183178,-15.954881032519953,2.1758365900824415e-07, 1.805  2.859  2.910 
3mer-0+1+7,1.1079512145087362,3,1.1079512145087362,-14.846929818011217,1.6271552845992843e-07, 1.805  2.309  3.005 
3mer-0+1+2,1.2277341723031514,3,1.2277341723031514,-13.619195645708068,1.6271552845992777e-07, 1.805  2.309  3.005 
3mer-0+4+7,0.4705690243097611,3,0.4705690243097611,-13.148626621398307,1.6271552691635438e-07, 2.615  2.615  3.005 
3mer-0+5+6,0.40610864085524945,3,0.40610864085524945,-12.742517980543058,1.6271552688503406e-07, 2.859  2.859  3.005 
3mer-0+7+9,0.5370818548470099,3,0.5370818548470099,-12.20543612569605,5.138181019497187e-08, 2.526  3.005  3.416 
3mer-0+2+11,-1.952154605572508,3,-1.952154605572508,-14.157590731268558,5.1381810174265596e-08, 1.805  2.615  3.416 
3mer-0+1+4,0.4157903955548559,3,0.4157903955548559,-13.7418003357137,5.13818101742654e-08, 2.309  2.615  3.416 
3mer-0+1+6,-0.19455590285778745,3,-0.19455590285778745,-13.936356238571486,2.6088687731210392e-08, 2.309  2.859  3.683 
3mer-0+2+5,-0.7050276788813631,3,-0.7050276788813631,-14.641383917452853,2.6088687731210392e-08, 1.805  2.859  3.683 
3mer-0+1+8,-0.2728649516391433,3,-0.2728649516391433,-14.914248869091994,1.3869813447932917e-08, 2.309  2.859  3.951 
3mer-0+3+8,0.1313654751076916,3,0.13136547510769156,-14.782883393984303,1.3869813438705312e-08, 2.910  3.005  3.951 
3mer-0+5+22,0.543861917379279,3,0.543861917379279,-14.239021476605025,2.1706609583262742e-09, 2.526  2.859  4.855 
3mer-0+3+4,-0.08408417438417316,3,-0.08408417438417316,-14.323105650989199,2.1706609375247336e-09, 2.615  2.910  4.855 
3mer-0+5+15,-0.14705589819520662,3,-0.14705589819520662,-14.470161549184404,2.17066088584227e-09, 2.859  3.416  4.855 
3mer-0+2+22,0.008612010215081511,3,0.008612010215081513,-14.461549538969322,2.1146705764497745e-09, 1.805  2.526  4.869 
3mer-0+1+9,-0.12563849055934576,3,-0.12563849055934576,-14.587188029528669,2.114670503962351e-09, 2.309  3.416  4.869 
3mer-0+2+9,-0.8222344945104006,3,-0.8222344945104006,-15.409422524039067,2.1146705039623397e-09, 1.805  3.416  4.869 
3mer-0+15+34,-0.10612870894091664,3,-0.10612870894091664,-15.515551232979986,2.114670501433028e-09, 3.683  4.855  4.869 
3mer-0+7+49,-0.2136364576897624,3,-0.2136364576897624,-15.729187690669747,2.114670499035604e-09, 3.005  4.869  4.869 
3mer-0+1+5,0.07876260388746381,3,0.07876260388746381,-15.650425086782285,1.7813681535425077e-09, 2.309  2.859  4.963 
3mer-0+7+46,-0.18263570233128992,3,-0.18263570233128992,-15.833060789113574,1.7813681306503786e-09, 3.005  3.683  4.963 
